Wavelength,CosAv,RaPr
1.0000000E-06,7.8809316E-01,3.3597584E-13
2.5000000E-06,3.8417330E-01,9.4586976E-14
3.4540001E-06,2.1480763E-01,4.2298424E-14
4.3969999E-06,1.3645083E-01,1.9006707E-14
5.3499998E-06,9.3769567E-02,9.4157731E-15
6.2500003E-06,6.9419685E-02,5.7388782E-15
7.3050000E-06,5.1210032E-02,4.5025804E-15
8.3470000E-06,3.9404484E-02,5.4132751E-15
9.3899999E-06,3.1207173E-02,9.0985185E-15
1.0280000E-05,2.6022926E-02,1.7848027E-14
1.1250000E-05,2.1550631E-02,5.7452215E-14
1.2020000E-05,1.8745814E-02,2.6810457E-13
1.2560000E-05,1.7562107E-02,4.4151552E-13
1.3020000E-05,1.6838397E-02,6.9678305E-13
1.3440000E-05,1.6697453E-02,8.0755191E-13
1.3970000E-05,1.4879056E-02,6.2023233E-13
1.4350000E-05,1.1866728E-02,6.3543467E-13
1.4520000E-05,1.1546215E-02,5.1930946E-13
1.4680000E-05,1.1542123E-02,3.6360984E-13
1.4810000E-05,1.1564421E-02,2.7320236E-13
1.5010000E-05,1.1736952E-02,1.9080698E-13
1.5150000E-05,1.1824900E-02,1.5945918E-13
1.5340000E-05,1.1724649E-02,1.3510172E-13
1.5500000E-05,1.1530830E-02,1.2567257E-13
1.5870000E-05,1.1018375E-02,1.3586326E-13
1.6370000E-05,1.0413381E-02,2.6807284E-13
1.6610000E-05,1.0329118E-02,4.1828036E-13
1.7070000E-05,9.5756428E-03,4.7704720E-13
1.7210000E-05,8.9328847E-03,4.4320527E-13
1.7330000E-05,8.9174478E-03,3.7845943E-13
1.7450000E-05,9.0373606E-03,3.8736063E-13
1.7670000E-05,8.7631112E-03,4.6463365E-13
1.7990000E-05,7.3651534E-03,5.4611377E-13
1.8480000E-05,6.8710359E-03,3.7886906E-13
1.9010000E-05,6.6800289E-03,1.4345893E-13
1.9420000E-05,6.3091290E-03,8.3221916E-14
1.9680000E-05,6.0594343E-03,6.4740931E-14
1.9920000E-05,5.8763645E-03,5.4981615E-14
2.0200000E-05,5.7982521E-03,4.7916912E-14
2.0530000E-05,5.7775604E-03,3.9263308E-14
2.0880000E-05,6.5229729E-03,2.5288107E-14
2.1190000E-05,7.3524655E-03,1.8321345E-14
2.1650000E-05,6.7693819E-03,1.4064382E-14
2.2030000E-05,6.3487730E-03,1.2086037E-14
2.2570000E-05,5.8999427E-03,1.0091179E-14
2.3420000E-05,5.3691804E-03,7.9701054E-15
2.4210000E-05,4.9719908E-03,6.6095470E-15
2.5000000E-05,4.6318857E-03,5.6316178E-15
